"0x0000","0x0000","Reserved","Reserved","1970-01-01"
"0x0001","0x0001","IPDC SPP Open Security Framework Generic Roaming (IPDC SPP (TS 102 474) Annex A)","IPDC SPP Open Security Framework Generic Roaming (IPDC SPP (TS 102 474) Annex A)","2006-06-06"
"0x0002","0x0002","18Crypt (IPDC SPP (TS 102 474) Annex B)","18Crypt (IPDC SPP (TS 102 474) Annex B)","2006-06-06"
"0x0004","0x0004","OMA DRM Content Format – MPEG-2 TS Profile: MDCF - see OMA-TS-SCE_MDCF-V1_0","OMA DRM Content Format – MPEG-2 TS Profile: MDCF - see OMA-TS-SCE_MDCF-V1_0","2008-08-01"
"0x0005","0x0005","OMA BCAST 1.0 (U)SIM Smartcard Profile using 3GPP GBA_U (OMA-TS-BCAST_SvcCntProtection-V1_0 section 6)","OMA BCAST 1.0 (U)SIM Smartcard Profile using 3GPP GBA_U (OMA-TS-BCAST_SvcCntProtection-V1_0 section 6)","2008-12-11"
"0x0006","0x0006","OMA BCAST 1.0 (U)SIM Smartcard Profile using 3GPP GBA_ME (OMA-TS-BCAST_SvcCntProtection-V1_0 section 6)","OMA BCAST 1.0 (U)SIM Smartcard Profile using 3GPP GBA_ME (OMA-TS-BCAST_SvcCntProtection-V1_0 section 6)","2008-12-11"
"0x0007","0x0007","(Reserved for Open IPTV Forum)","(Reserved for Open IPTV Forum)","2008-12-11"
"0x0008","0x0008","Open Mobile Alliance","Open Mobile Alliance","2011-04-06"
"0x0009","0x00FF","reserved for future use by standardized systems","reserved for future use by standardized systems","1970-01-01"
"0x0100","0x01FF","Canal Plus","Canal Plus","1970-01-01"
"0x0200","0x02FF","CCETT","CCETT","1970-01-01"
"0x0300","0x03FF","Kabel Deutschland","Kabel Deutschland","1970-01-01"
"0x0400","0x04FF","Eurodec","Eurodec","1970-01-01"
"0x0500","0x05FF","France Telecom","France Telecom","1970-01-01"
"0x0600","0x06FF","Irdeto","Irdeto","1970-01-01"
"0x0700","0x07FF","Jerrold/GI/Motorola","Jerrold/GI/Motorola","1970-01-01"
"0x0800","0x08FF","Matra Communication","Matra Communication","1970-01-01"
"0x0900","0x09FF","News Datacom","News Datacom","1970-01-01"
"0x0A00","0x0AFF","Nokia","Nokia","1970-01-01"
"0x0B00","0x0BFF","Norwegian Telekom","Norwegian Telekom","1970-01-01"
"0x0B00","0x0BFF","Conax AS","Conax AS","2014-06-10"
"0x0C00","0x0CFF","NTL","NTL","1970-01-01"
"0x0D00","0x0DFF","CrytoWorks (Irdeto)","CrytoWorks (Irdeto)","2006-03-30"
"0x0E00","0x0EFF","Scientific Atlanta","Scientific Atlanta","1970-01-01"
"0x0F00","0x0FFF","Sony","Sony","1970-01-01"
"0x1000","0x10FF","Tandberg Television","Tandberg Television","1970-01-01"
"0x1100","0x11FF","Thomson","Thomson","1970-01-01"
"0x1200","0x12FF","TV/Com","TV/Com","2006-03-30"
"0x1300","0x13FF","HPT - Croatian Post and Telecommunications","HPT - Croatian Post and Telecommunications","1970-01-01"
"0x1400","0x14FF","HRT - Croatian Radio and Television","HRT - Croatian Radio and Television","1970-01-01"
