"0x0000","0x0000","(Reserved)","(Reserved)","1970-01-01"
"0x0001","0x0001","Société Européenne des Satellites","Société Européenne des Satellites","1970-01-01"
"0x0002","0x0002","Société Européenne des Satellites","Société Européenne des Satellites","1970-01-01"
"0x0003","0x0019","Société Européenne des Satellites","Société Européenne des Satellites","1970-01-01"
"0x001A","0x001A","Quiero Televisión  ","Quiero Televisión  ","1970-01-01"
"0x001B","0x001B","RAI","RAI","1970-01-01"
"0x001C","0x001C","Hellas-Sat S.A.","Hellas-Sat S.A.","1970-01-01"
"0x001D","0x001D","TELECOM ITALIA MEDIA BROADCASTING SRL","TELECOM ITALIA MEDIA BROADCASTING SRL","1970-01-01"
"0x001E","0x001E","EUTELSAT","EUTELSAT","2018-11-13"
"0x001F","0x001F","Europe Online Networks S.A  ","Europe Online Networks S.A  ","1970-01-01"
"0x0020","0x0020","Société Européenne des Satellites","Société Européenne des Satellites","1970-01-01"
"0x0021","0x0021","Hispasat S.A .","Hispasat S.A .","1970-01-01"
"0x0022","0x0022","Hispasat S.A .","Hispasat S.A .","1970-01-01"
"0x0023","0x0023","Hispasat S.A .","Hispasat S.A .","1970-01-01"
"0x0024","0x0024","Hispasat S.A .","Hispasat S.A .","1970-01-01"
"0x0025","0x0025","Hispasat S.A .","Hispasat S.A .","1970-01-01"
"0x0026","0x0026","Hispasat S.A .","Hispasat S.A .","1970-01-01"
"0x0027","0x0027","Hispasat FSS","Hispasat FSS","1970-01-01"
"0x0028","0x0028","Hispasat DBS","Hispasat DBS","1970-01-01"
"0x0029","0x0029","Hispasat America","Hispasat America","1970-01-01"
"0x002A","0x002A","Päijät-Hämeen Puhelin Oyj","Päijät-Hämeen Puhelin Oyj","1970-01-01"
"0x002B","0x002B","Digita Oy","Digita Oy","2006-10-16"
"0x002C","0x002C","BRT Concern","BRT Concern","2021-05-25"
"0x002E","0x002E","Xantic BU Broadband","Xantic BU Broadband","1970-01-01"
"0x002F","0x002F","TVNZ  ","TVNZ  ","1970-01-01"
"0x0030","0x0030","Canal+ SA (for Intelsat 601-325°E)","Canal+ SA (for Intelsat 601-325°E)","1970-01-01"
"0x0031","0x0031","Hispasat S.A.","Hispasat S.A.","1970-01-01"
"0x0032","0x0032","Hispasat S.A.","Hispasat S.A.","1970-01-01"
"0x0033","0x0033","Hispasat S.A.","Hispasat S.A.","1970-01-01"
"0x0034","0x0034","Hispasat S.A.","Hispasat S.A.","1970-01-01"
"0x0035","0x0035","NetHold IMS","NetHold IMS","1970-01-01"
"0x0036","0x0036","TV Cabo Portugal  ","TV Cabo Portugal  ","1970-01-01"
"0x0037","0x0037","France Telecom, CNES and DGA","France Telecom, CNES and DGA","1970-01-01"
"0x0038","0x0038","Hellenic Telecommunications Organization S.A .","Hellenic Telecommunications Organization S.A .","1970-01-01"
"0x0039","0x0039","Broadcast Australia Pty.","Broadcast Australia Pty.","1970-01-01"
"0x003A","0x003A","GeoTelecom Satellite Services","GeoTelecom Satellite Services","1970-01-01"
"0x003B","0x003B","BBC","BBC","2006-10-31"
"0x003C","0x003C","KPN Broadcast Services","KPN Broadcast Services","2007-03-15"
"0x003D","0x003D","Skylogic Italia S.A.","Skylogic Italia S.A.","2007-07-16"
"0x003E","0x003E","Eutelsat S.A.","Eutelsat S.A.","2007-07-16"
"0x003F","0x003F","Eutelsat S.A.","Eutelsat S.A.","2007-07-16"
"0x0040","0x0040","Hrvatski Telekom d.d","Hrvatski Telekom d.d","1970-01-01"
"0x0041","0x0041","Mindport  ","Mindport  ","1970-01-01"
"0x0042","0x0042","DTV haber ve Gorsel yayýncilik","DTV haber ve Gorsel yayýncilik","1970-01-01"
"0x0043","0x0043","arena Sport Rechte und Marketing GmbH","arena Sport Rechte und Marketing GmbH","2006-05-05"
"0x0044","0x0044","VisionTV LLC","VisionTV LLC","2007-10-25"
