"0x00000000","0x00000000","Reserved","Reserved","1970-01-01"
"0x00000001","0x00000001","SES","SES","1970-01-01"
"0x00000002","0x00000004","BskyB 1 - 3","BskyB 1 - 3","1970-01-01"
"0x00000005","0x00000005","ARD, ZDF, ORF","ARD, ZDF, ORF","1970-01-01"
"0x00000006","0x00000006","Nokia Multimedia Network Terminals","Nokia Multimedia Network Terminals","1970-01-01"
"0x00000007","0x00000007","AT Entertainment Ltd.","AT Entertainment Ltd.","1970-01-01"
"0x00000008","0x00000008","TV Cabo Portugal  ","TV Cabo Portugal  ","1970-01-01"
"0x00000009","0x0000000D","Nagravision SA – Kudelski 1 - 5","Nagravision SA – Kudelski 1 - 5","1970-01-01"
"0x0000000E","0x0000000E","Valvision SA  ","Valvision SA  ","1970-01-01"
"0x0000000F","0x0000000F","Quiero Televisión  ","Quiero Televisión  ","1970-01-01"
"0x00000010","0x00000010","La Télévision Par Satellite (TPS)","La Télévision Par Satellite (TPS)","1970-01-01"
"0x00000011","0x00000011","Echostar Communications","Echostar Communications","1970-01-01"
"0x00000012","0x00000012","Telia AB","Telia AB","1970-01-01"
"0x00000013","0x00000013","Viasat  ","Viasat  ","1970-01-01"
"0x00000014","0x00000014","Boxer TV Access","Boxer TV Access","2008-11-27"
"0x00000015","0x00000015","MediaKabel ","MediaKabel ","1970-01-01"
"0x00000016","0x00000016","Casema  ","Casema  ","1970-01-01"
"0x00000017","0x00000017","Humax Electronics Co. Ltd .","Humax Electronics Co. Ltd .","1970-01-01"
"0x00000018","0x00000018","Neotion SA","Neotion SA","2003-02-14"
"0x00000019","0x00000019","Singapore Digital Terrestrial Television  ","Singapore Digital Terrestrial Television  ","1970-01-01"
"0x0000001A","0x0000001A","Télédiffusion de France (TDF)","Télédiffusion de France (TDF)","1970-01-01"
"0x0000001B","0x0000001B","Intellibyte Inc.","Intellibyte Inc.","1970-01-01"
"0x0000001C","0x0000001C","Digital Theater Systems Ltd","Digital Theater Systems Ltd","1970-01-01"
"0x0000001D","0x0000001D","Finlux Ltd.","Finlux Ltd.","1970-01-01"
"0x0000001E","0x0000001E","Sagem SA","Sagem SA","1970-01-01"
"0x0000001F","0x0000001F","Beijing Compunicate Technology Inc","Beijing Compunicate Technology Inc","1970-01-01"
"0x00000020","0x00000023","Lyonnaise Cable 1 - 4","Lyonnaise Cable 1 - 4","1970-01-01"
"0x00000024","0x00000024","Metronic","Metronic","1970-01-01"
"0x00000025","0x00000025","MTV Europe ","MTV Europe ","1970-01-01"
"0x00000026","0x00000026","Pansonic  ","Pansonic  ","1970-01-01"
"0x00000027","0x00000027","Mentor Data System, Inc .","Mentor Data System, Inc .","1970-01-01"
"0x00000028","0x00000028","EACEM  ","EACEM  ","1970-01-01"
"0x00000029","0x00000029","NorDig  ","NorDig  ","1970-01-01"
"0x0000002A","0x0000002A","Intelsis Sistemas Inteligentes S.A .","Intelsis Sistemas Inteligentes S.A .","1970-01-01"
"0x0000002B","0x0000002B","DTV haber ve Gorsel yayýncilik","DTV haber ve Gorsel yayýncilik","1970-01-01"
"0x0000002D","0x0000002D","Alpha Digital Synthesis S.A.","Alpha Digital Synthesis S.A.","1970-01-01"
"0x0000002E","0x0000002E","THOMSON","THOMSON","1970-01-01"
"0x0000002F","0x0000002F","Conax A.S.","Conax A.S.","1970-01-01"
"0x00000030","0x00000030","Telenor","Telenor","1970-01-01"
"0x00000031","0x00000031","TeleDenmark ","TeleDenmark ","1970-01-01"
"0x00000032","0x00000032","Foxtel Management","Foxtel Management","1970-01-01"
"0x00000033","0x00000033","InOutTV","InOutTV","1970-01-01"
"0x00000034","0x00000034","InOutTV SA (2)","InOutTV SA (2)","1970-01-01"
"0x00000035","0x00000035","Europe Online Networks S.A .","Europe Online Networks S.A .","1970-01-01"
"0x00000036","0x00000036","Groupe Canal+","Groupe Canal+","2005-09-26"
"0x00000037","0x00000037","FreeView (NZ)","FreeView (NZ)","2007-06-22"
"0x00000038","0x00000038","OTE  ","OTE  ","1970-01-01"
"0x00000039","0x00000039","Telewizja Polsat  ","Telewizja Polsat  ","1970-01-01"
"0x0000003A","0x0000003A","arena Sport Rechte und Marketing GmbH","arena Sport Rechte und Marketing GmbH","2006-05-05"
"0x0000003B","0x0000003B","Wyplay SAS","Wyplay SAS","2006-04-04"
"0x0000003D","0x0000003D","Interactive Technologies AD","Interactive Technologies AD","2008-07-03"
"0x0000003E","0x0000003E","T-Kábel Magyarország Kft.","T-Kábel Magyarország Kft.","2008-08-13"
"0x0000003F","0x0000003F","ITI Neovision","ITI Neovision","2008-12-03"
"0x00000040","0x00000040","CI Plus LLP","CI Plus LLP","2008-12-16"
"0x00000041","0x00000041","France Telecom Orange","France Telecom Orange","2008-03-10"
"0x00000050","0x00000050","Com Hem ab","Com Hem ab","2012-09-18"
"0x000000A0","0x000000A0","Sentech  ","Sentech  ","1970-01-01"
"0x000000A1","0x000000A1","TechniSat Digital GmbH  ","TechniSat Digital GmbH  ","1970-01-01"
"0x000000A2","0x000000A2","LogiWays","LogiWays","2006-09-11"
"0x000000A3","0x000000A3","EFG","EFG","2009-07-08"
"0x000000A4","0x000000A4","CANAL+ INTERNATIONAL","CANAL+ INTERNATIONAL","2010-05-11"
"0x000000A5","0x000000A5","Canal+ Cyfrowy","Canal+ Cyfrowy","2010-08-05"
"0x000000B0","0x000000B0","ITI Neovision Sp. z.o.o.","ITI Neovision Sp. z.o.o.","2011-01-31"
"0x000000BE","0x000000BE","BetaTechnik","BetaTechnik","1970-01-01"
"0x000000C0","0x000000C0","NDS France","NDS France","2005-09-26"
"0x000000D0","0x000000D0","Dolby Laboratories Inc.","Dolby Laboratories Inc.","1970-01-01"
"0x000000E0","0x000000E0","ExpressVu Inc.","ExpressVu Inc.","1970-01-01"
"0x000000F0","0x000000F0","France Telecom, CNES and DGA (STENTOR)","France Telecom, CNES and DGA (STENTOR)","1970-01-01"
"0x00000100","0x00000100","OpenTV","OpenTV","1970-01-01"
"0x00000110","0x00000110","Media Broadcast GmbH","Media Broadcast GmbH","2017-05-29"
"0x0000013F","0x0000013F","Eutelsat S.A. (1)","Eutelsat S.A. (1)","2007-05-03"
"0x00000140","0x00000140","Eltrona-Interdiffusion S.A.","Eltrona-Interdiffusion S.A.","2010-01-22"
"0x00000150","0x00000150","Loewe Opta GmbH ","Loewe Opta GmbH ","1970-01-01"
"0x00000160","0x00000160","Triax A/S","Triax A/S","2011-09-22"
"0x00000170","0x00000170","Deutsche Telekom AG","Deutsche Telekom AG","2012-06-18"
"0x00000180","0x00000180","EAB - Ericsson AB","EAB - Ericsson AB","2012-09-14"
"0x00000190","0x00000190","Samsung Electronics (UK) Ltd","Samsung Electronics (UK) Ltd","2013-09-03"
"0x000001A0","0x000001A0","RCS&RDS","RCS&RDS","2013-12-13"
"0x000001B0","0x000001B0","ORS comm GmbH & Co KG","ORS comm GmbH & Co KG","2016-11-11"
"0x000001B1","0x000001B1","Österreichische Rundfunksender GmbH & Co KG","Österreichische Rundfunksender GmbH & Co KG","2021-08-05"
"0x000001B2","0x000001B2","MIT-xperts GmbH","MIT-xperts GmbH","2022-08-16"
"0x0000055F","0x0000055F","Eutelsat S.A. (2)","Eutelsat S.A. (2)","2007-05-03"
"0x00000600","0x00000601","UPC 1 - 2","UPC 1 - 2","1970-01-01"
"0x00000602","0x00000603","UPC Broadband Holding Services BV","UPC Broadband Holding Services BV","2011-02-19"
"0x00000604","0x00000605","Liberty Global Operations B.V.","Liberty Global Operations B.V.","2016-08-05"
"0x00000A2B","0x00000A2B","WISI","WISI","2009-03-06"
"0x00000ACE","0x00000ACE","Ortikon Interactive Oy","Ortikon Interactive Oy","1970-01-01"
"0x00000AD0","0x00000AD0","Zenterio AB","Zenterio AB","2010-05-10"
"0x00000AE0","0x00000AE0","Mobistar","Mobistar","2014-06-17"
